index,type,code,name,value
2,vacancy,RU-KLU,Калужская Область,434
3,vacancy,RU-BEL,Белгородская Область,377
4,vacancy,RU-MAG,Магаданская Область,1023
5,vacancy,RU-KEM,Кемеровская Область,670
6,vacancy,RU-VLG,Вологодская Область,1291
7,vacancy,RU-IRK,Иркутская Область,1951
8,vacancy,RU-SMO,Смоленская Область,2032
9,vacancy,RU-AMU,Амурская Область,933
10,vacancy,RU-ULY,Ульяновская Область,1696
11,vacancy,RU-KO,Коми Республика,1049
12,vacancy,RU-KL,Калмыкия Республика,1323
13,vacancy,RU-SVE,Свердловская Область,823
14,vacancy,RU-PNZ,Пензенская Область,2359
15,vacancy,RU-PRI,Приморский Край,2293
16,vacancy,RU-YAR,Ярославская Область,1457
17,vacancy,RU-ORE,Оренбургская Область,1408
18,vacancy,RU-KGD,Калининградская Область,599
19,vacancy,RU-KC,Карачаево-Черкесская Республика,1967
20,vacancy,RU-BRY,Брянская Область,694
21,vacancy,RU-CU,Чувашская Республика - Чувашия,1483
22,vacancy,RU-CHU,Чукотский Автономный округ,463
24,vacancy,RU-PER,Пермский Край,1780
25,vacancy,RU-ARK,Архангельская Область,1801
27,vacancy,RU-KIR,Кировская Область,1526
28,vacancy,RU-SAR,Саратовская Область,858
29,vacancy,RU-MUR,Мурманская Область,758
30,vacancy,RU-LIP,Липецкая Область,1713
31,vacancy,RU-KYA,Красноярский Край,993
32,vacancy,RU-TA,Татарстан Республика,118
34,vacancy,RU-UD,Удмуртская Республика,1083
35,vacancy,RU-TAM,Тамбовская Область,2326
36,vacancy,RU-KK,Хакасия Республика,1981
37,vacancy,RU-BU,Бурятия Республика,1282
39,vacancy,RU-NVS,Новосибирская Область,2001
41,vacancy,RU-IN,Ингушетия Республика,2386
43,vacancy,RU-CE,Чеченская Республика,890
45,vacancy,RU-TVE,Тверская Область,2068
46,vacancy,RU-RYA,Рязанская Область,2251
49,vacancy,RU-ZAB,Забайкальский Край,1164
50,vacancy,RU-KHA,Хабаровский Край,1170
52,vacancy,RU-AST,Астраханская Область,2169
53,vacancy,RU-VLA,Владимирская Область,2477
54,vacancy,RU-DA,Дагестан Республика,249
55,vacancy,RU-KOS,Костромская Область,198813
57,vacancy,RU-MO,Мордовия Республика,1346
58,vacancy,RU-VGG,Волгоградская Область,405
59,vacancy,RU-TY,Тыва Республика,916
60,vacancy,RU-KB,Кабардино-Балкарская Республика,479
61,vacancy,RU-NEN,Ненецкий Автономный округ,2099
63,vacancy,RU-SAK,Сахалинская Область,1749
64,vacancy,RU-CHE,Челябинская Область,517
65,vacancy,RU-ALT,Алтайский Край,2530
66,vacancy,RU-ROS,Ростовская Область,175
67,vacancy,RU-SAM,Самарская Область,2603
69,vacancy,RU-PSK,Псковская Область,276
70,vacancy,RU-VOR,Воронежская Область,1589
71,vacancy,RU-KGN,Курганская Область,1674
72,vacancy,RU-TUL,Тульская Область,1545
73,vacancy,RU-TYU,Тюменская Область,1896
74,vacancy,RU-KAM,Камчатский Край,475
75,vacancy,RU-KR,Карелия Республика,1103
76,vacancy,RU-KRS,Курская Область,554
78,vacancy,RU-STA,Ставропольский Край,2425
79,vacancy,RU-YAN,Ямало-Ненецкий Автономный округ,2612
80,vacancy,RU-BA,Башкортостан Республика,1611
84,vacancy,RU-IVA,Ивановская Область,1829
85,vacancy,RU-KDA,Краснодарский Край,1399
86,vacancy,RU-KHM,Ханты-Мансийский Автономный округ - Югра Автономный округ,Ханты-Мансийск,1253
87,vacancy,RU-TOM,Томская Область,2410
88,vacancy,RU-OMS,Омская Область,727 
